Compound_ID,SMILES,actual,Wavelength
Atorvastatin (acid),O=C(C[C@@H](C[C@@H](CCN1C(C2=CC=C(F)C=C2)=C(C(C(NC3=CC=CC=C3)=O)=C1C(C)C)C4=CC=CC=C4)O)O)O,1,220
Atorvastatin (acid),O=C(C[C@@H](C[C@@H](CCN1C(C2=CC=C(F)C=C2)=C(C(C(NC3=CC=CC=C3)=O)=C1C(C)C)C4=CC=CC=C4)O)O)O,0.977346834,221
Atorvastatin (acid),O=C(C[C@@H](C[C@@H](CCN1C(C2=CC=C(F)C=C2)=C(C(C(NC3=CC=CC=C3)=O)=C1C(C)C)C4=CC=CC=C4)O)O)O,0.958125965,222
Atorvastatin (acid),O=C(C[C@@H](C[C@@H](CCN1C(C2=CC=C(F)C=C2)=C(C(C(NC3=CC=CC=C3)=O)=C1C(C)C)C4=CC=CC=C4)O)O)O,0.943710314,223
Atorvastatin (acid),O=C(C[C@@H](C[C@@H](CCN1C(C2=CC=C(F)C=C2)=C(C(C(NC3=CC=CC=C3)=O)=C1C(C)C)C4=CC=CC=C4)O)O)O,0.929981122,224
Atorvastatin (acid),O=C(C[C@@H](C[C@@H](CCN1C(C2=CC=C(F)C=C2)=C(C(C(NC3=CC=CC=C3)=O)=C1C(C)C)C4=CC=CC=C4)O)O)O,0.918997769,225
Atorvastatin (acid),O=C(C[C@@H](C[C@@H](CCN1C(C2=CC=C(F)C=C2)=C(C(C(NC3=CC=CC=C3)=O)=C1C(C)C)C4=CC=CC=C4)O)O)O,0.910760254,226
Atorvastatin (acid),O=C(C[C@@H](C[C@@H](CCN1C(C2=CC=C(F)C=C2)=C(C(C(NC3=CC=CC=C3)=O)=C1C(C)C)C4=CC=CC=C4)O)O)O,0.904582118,227
Atorvastatin (acid),O=C(C[C@@H](C[C@@H](CCN1C(C2=CC=C(F)C=C2)=C(C(C(NC3=CC=CC=C3)=O)=C1C(C)C)C4=CC=CC=C4)O)O)O,0.90046336,228
Atorvastatin (acid),O=C(C[C@@H](C[C@@H](CCN1C(C2=CC=C(F)C=C2)=C(C(C(NC3=CC=CC=C3)=O)=C1C(C)C)C4=CC=CC=C4)O)O)O,0.897717522,229
Atorvastatin (acid),O=C(C[C@@H](C[C@@H](CCN1C(C2=CC=C(F)C=C2)=C(C(C(NC3=CC=CC=C3)=O)=C1C(C)C)C4=CC=CC=C4)O)O)O,0.895658143,230
